JoinField,JoinField2,JoinField3,Jurisdiction,Precinct,V_20_VAP_White_pct,V_20_VAP_Hispanic_pct,V_20_VAP_Black_pct,V_20_VAP_Asian_pct,V_20_VAP_Native_pct,V_20_VAP_Pacific_pct,bach_pct,owner_pct,renter_pct,drive_pct,transit_pct,walk_pct,bike_pct,wfh_pct,X_22_2022_Age_Age_0_9_pct,X_22_2022_Age_Age_10_19_pct,X_22_2022_Age_Age_20_29_pct,X_22_2022_Age_Age_30_39_pct,X_22_2022_Age_Age_40_49_pct,X_22_2022_Age_Age_50_59_pct,X_22_2022_Age_Age_60_69_pct,X_22_2022_Age_Age_70_79_pct,X_22_2022_Age_Age_O79_pct,X_22_2022_Household_Income_U10K_pct,X_22_2022_Household_Income_10_15K_pct,X_22_2022_Household_Income_15_20K_pct,X_22_2022_Household_Income_20_25K_pct,X_22_2022_Household_Income_25_30K_pct,X_22_2022_Household_Income_30_35K_pct,X_22_2022_Household_Income_35_40K_pct,X_22_2022_Household_Income_40_45K_pct,X_22_2022_Household_Income_45_50K_pct,X_22_2022_Household_Income_50_60K_pct,X_22_2022_Household_Income_60_75K_pct,X_22_2022_Household_Income_75_100K_pct,X_22_2022_Household_Income_100_125K_pct,X_22_2022_Household_Income_125_150K_pct,X_22_2022_Household_Income_150_200K_pct,X_22_2022_Household_Income_O200K_pct,ward_preci,prog_score,estimated_turnout_high,estimated_turnout,estimated_turnout_low,win_prob_Fine,median_pct_Fine,median_votes_Fine,win_prob_Biss,median_pct_Biss,median_votes_Biss,win_prob_Abughazaleh,,median_votes_Abughazaleh,win_prob_Simmons,median_pct_Simmons,median_votes_Simmons,win_prob_Amiwala,median_pct_Amiwala,median_votes_Amiwala,win_prob_Andrew,median_pct_Andrew,median_votes_Andrew,win_prob_Huynh,median_pct_Huynh,median_votes_Huynh,tot_cohabitating_couples,straight_cohabitating,lgbt_cohabitating,mlm_cohabitating,wlw_cohabitating,lgbt_pct,mlm_pct,wlw_pct
CITY OF CHICAGO:WARD 48 PRECINCT 02,CITY OF CHICAGO:WARD 48 PRECINCT 02,CITY OF CHICAGO:Ward 48 Precinct 02,CITY OF CHICAGO,Ward 48 Precinct 02,0.524633749,0.079893467,0.126497984,0.247669728,0.01731025,2.37E-10,0.2801,0.4145,0.5855,0.2604,0.3507,0.005,0.188,0.1846,0.027855147,0.380222773,0.263231156,0.073816148,0.040389971,0.044568244,0.05013927,0.079387177,0.040389964,0.128440347,0.041284401,0.032110095,0.036697246,0.036697243,0.013761466,0.027522932,0.013761466,0.091743099,0.059633021,0.14678897,0.12385319,0.07339448,0.027522935,0.082568791,0.064220171,48002,1.094920268,309,206,137,0.1119,0.187624115,39,0.1294,0.19419351,40,0.74196,0.292991443,60,0.00688,0.105721526,22,0.0075,0.106236228,22,0.00194,0.054509968,11,0.00042,0.033334947,7,38.6774361,36.63060277,4.275354298,3.114135969,1.16121833,0.110538721,0.080515574,0.030023146
CITY OF CHICAGO:WARD 49 PRECINCT 06,CITY OF CHICAGO:WARD 49 PRECINCT 06,CITY OF CHICAGO:Ward 49 Precinct 06,CITY OF CHICAGO,Ward 49 Precinct 06,0.580914389,0.109365215,0.114924979,0.179308475,0.010845234,0.002318395,0.1882,0.1669,0.8331,0.2911,0.3322,0.0091,0.1804,0.1815,0.005573232,0.355746546,0.293001257,0.112294392,0.023745593,0.114353973,0.045609647,0.033686214,0.015989131,0.102961485,0.119408978,0.260135415,0.101040205,0.028196977,0.006423679,0.024742086,0.001174948,0.029784518,0.022598485,0.110231713,0.030683219,0.036627911,0.055635159,0.065933444,0.004421764,49006,0.860803913,299,199,133,0.11214,0.188482365,38,0.132,0.194654743,40,0.7392,0.291613759,60,0.00754,0.105671243,22,0.00694,0.106280987,22,0.00186,0.0544512,11,0.00032,0.033866406,7,90.1034767,84.00952214,11.897721,7.254707999,4.643012999,0.132045082,0.080515295,0.051529787
CITY OF CHICAGO:WARD 49 PRECINCT 07,CITY OF CHICAGO:WARD 49 PRECINCT 07,CITY OF CHICAGO:Ward 49 Precinct 07,CITY OF CHICAGO,Ward 49 Precinct 07,0.561867757,0.115617145,0.16204005,0.143278132,0.021694456,0.00128147,0.2882,0.1829,0.8171,0.3471,0.3294,0.0141,0.1118,0.1804,0.075463443,0.124167098,0.31500456,0.15869796,0.086862262,0.090750639,0.081905657,0.047094345,0.020054036,0.158018645,0.105325108,0.110685853,0.060497733,0.031917386,0.019537412,0.022684397,0.025170544,0.041887283,0.038898899,0.10088208,0.113790892,0.064470735,0.024165463,0.039420277,0.042647294,49007,1.071012586,1040,693,462,0.21624,0.214866246,149,0.3306,0.236550523,49,0.43492,0.251649313,52,0.0141,0.120731667,25,0.00208,0.059832127,12,0.0015,0.053585143,11,0.00056,0.0328976,7,572.5180584,547.0169955,57.14020335,38.38077641,18.75942694,0.099805067,0.067038543,0.032766524
CITY OF CHICAGO:WARD 46 PRECINCT 12,CITY OF CHICAGO:WARD 46 PRECINCT 12,CITY OF CHICAGO:Ward 46 Precinct 12,CITY OF CHICAGO,Ward 46 Precinct 12,0.67666562,0.092284982,0.093873627,0.127715221,0.015256825,0.000306031,0.6155,0.4482,0.5518,0.3478,0.39,0.0098,0.0378,0.2022,0.034863091,0.020748937,0.322820279,0.240279226,0.088462855,0.094516009,0.078595467,0.092801084,0.02691305,0.024008738,0.011576043,0.048381134,0.000982866,0.038284845,0.00900891,0.042210703,0.017519468,0.019438734,0.05280348,0.151292947,0.236580968,0.106164262,0.045169681,0.105384287,0.091192935,46012,0.720198656,1191,794,529,0.21838,0.214874508,171,0.3286,0.236153529,49,0.43366,0.251489864,52,0.01576,0.121646343,25,0.00166,0.059983752,12,0.00152,0.053787505,11,0.00042,0.033370096,7,63.01027362,58.83135383,10.64318539,8.488430096,2.154755295,0.168911906,0.134715017,0.034196888
CITY OF CHICAGO:WARD 47 PRECINCT 05,CITY OF CHICAGO:WARD 47 PRECINCT 05,CITY OF CHICAGO:Ward 47 Precinct 05,CITY OF CHICAGO,Ward 47 Precinct 05,0.666584681,0.120742447,0.072422322,0.129249424,0.013845971,0.002246661,0.462,0.1293,0.8707,0.3241,0.3926,0.012,0.0521,0.1787,0.073983332,0.027770731,0.175858892,0.385631755,0.132652934,0.070688495,0.065603124,0.056903911,0.010906826,0.083706657,0.094531821,0.027730268,0.037874067,0.021677437,0.021679996,1.32E-09,0.066849329,0.012613283,0.023465916,0.113380886,0.204592102,0.077865118,0.089756573,0.038591703,0.085684844,47005,0.966024881,1019,679,453,0.21924,0.214935107,146,0.3284,0.236759553,49,0.43328,0.252317672,52,0.01526,0.120824991,25,0.00166,0.06024041,12,0.00158,0.053029037,11,0.00058,0.03314246,7,593.114351,515.8859215,148.8964127,106.8841471,42.01226559,0.251041663,0.180208331,0.070833332
CITY OF CHICAGO:WARD 40 PRECINCT 14,CITY OF CHICAGO:WARD 40 PRECINCT 14,CITY OF CHICAGO:Ward 40 Precinct 14,CITY OF CHICAGO,Ward 40 Precinct 14,0.656676506,0.193973958,0.059795524,0.079194118,0.016844374,0.000239027,0.5739,0.3722,0.6278,0.5087,0.2568,0.0109,0.0303,0.1781,0.102635485,0.045588608,0.198957229,0.301920891,0.109881312,0.099601383,0.061364025,0.045983226,0.034067841,0.012904046,0.013663045,0.030881148,0.002660987,0.013119679,0.097860523,0.016969056,0.038372914,0.036509377,0.085895895,0.093046125,0.103089556,0.083325808,0.094126033,0.082590079,0.194985729,40014,0.883606404,329,219,146,0.21608,0.214706905,47,0.33098,0.236802857,49,0.43328,0.251995152,52,0.01598,0.121306867,25,0.00162,0.060007633,12,0.00152,0.053644366,11,0.00054,0.032785273,7,280.4721431,267.2374128,29.87839569,17.04357164,12.83482405,0.106528924,0.060767431,0.045761493
CITY OF CHICAGO:WARD 46 PRECINCT 13,CITY OF CHICAGO:WARD 46 PRECINCT 13,CITY OF CHICAGO:Ward 46 Precinct 13,CITY OF CHICAGO,Ward 46 Precinct 13,0.654059431,0.14684,0.11709939,0.068062709,0.019250271,0.000766551,0.3358,0.2027,0.7973,0.2277,0.3,0.0007,0.0284,0.4418,0.062040413,0.065145583,0.22371666,0.327088816,0.061485469,0.106428845,0.086350036,0.016378549,0.051365629,0.091829708,0.087468422,0.031157602,0.057102969,0.019857996,0.025921228,0.014668975,0.006793898,0.015481388,0.045801586,0.123344195,0.052151012,0.105148898,0.030112092,0.209744821,0.083415209,46013,0.653339754,408,272,181,0.2206,0.215649298,59,0.3275,0.235981342,49,0.43252,0.251185069,52,0.01594,0.121272653,25,0.00146,0.060357819,12,0.0015,0.054195965,11,0.00048,0.033028696,7,487.2903388,450.1134772,70.28934087,55.63978937,14.6495515,0.1442453,0.114182008,0.030063292
CITY OF CHICAGO:WARD 49 PRECINCT 04,CITY OF CHICAGO:WARD 49 PRECINCT 04,CITY OF CHICAGO:Ward 49 Precinct 04,CITY OF CHICAGO,Ward 49 Precinct 04,0.505132931,0.128750952,0.26517735,0.082667915,0.021217852,0.001345394,0.5372,0.249,0.751,0.3249,0.3994,0.0216,0.0522,0.1662,0.036604124,0.013148446,0.28071768,0.266857187,0.186292782,0.073382574,0.081366141,0.036701188,0.024929864,0.040605755,0.054266419,0.045758586,0.05140361,0.021738742,0.067533329,0.078062788,0.099425619,0.144566981,0.039201352,0.039755978,0.081211673,0.145184366,0.062147783,0.001091414,0.028045588,49004,1.375979625,1011,674,449,0.21714,0.214200076,144,0.33078,0.236383105,49,0.43236,0.251635925,52,0.01564,0.121154599,25,0.0019,0.060235677,12,0.00166,0.053930109,11,0.00052,0.033263599,7,451.8067025,422.4469952,62.64949932,40.30509669,22.34440263,0.138664387,0.089208718,0.049455669
CITY OF CHICAGO:WARD 48 PRECINCT 15,CITY OF CHICAGO:WARD 48 PRECINCT 15,CITY OF CHICAGO:Ward 48 Precinct 15,CITY OF CHICAGO,Ward 48 Precinct 15,0.456730634,0.148611216,0.224471631,0.16575554,0.014541005,0.001873238,0.3965,0.0689,0.9311,0.2768,0.549,0.0144,0.0377,0.1222,0.072854233,0.051557373,0.282075886,0.208459624,0.093736998,0.08514885,0.113309609,0.063280915,0.029576511,0.069988267,0.10774014,0.050673452,0.028490554,0.016895869,0.04754473,0.08906755,0.044441118,0.048593649,0.081832629,0.142552495,0.120383748,0.046770601,0.027356055,0.044612287,0.033056856,48015,0.998099865,414,276,184,0.21898,0.214776668,59,0.32904,0.236664732,49,0.4323,0.251337794,52,0.01632,0.121355425,25,0.00156,0.060125474,12,0.00138,0.05367226,11,0.00042,0.03318092,7,202.6057005,191.357105,27.65867643,21.99348928,5.665187154,0.136514799,0.108553161,0.027961638
CITY OF CHICAGO:WARD 47 PRECINCT 02,CITY OF CHICAGO:WARD 47 PRECINCT 02,CITY OF CHICAGO:Ward 47 Precinct 02,CITY OF CHICAGO,Ward 47 Precinct 02,0.725247432,0.140075561,0.039855005,0.076813078,0.022298013,0.001201421,0.6426,0.3037,0.6963,0.4013,0.2931,0.0076,0.0016,0.2662,0.077051974,0.038046617,0.183745784,0.385129285,0.108009756,0.099188681,0.061530717,0.039489788,0.007807398,0.050011073,0.008275425,0.001420132,0.002021842,0.017426364,0.016185879,0.018087778,0.042316628,0.006396735,0.12258447,0.1341636,0.117151201,0.109067242,0.080478247,0.127678239,0.146735145,47002,0.898318482,653,435,290,0.21956,0.215157759,94,0.32898,0.236502548,49,0.43212,0.251704287,52,0.01548,0.120848045,25,0.00158,0.060745769,13,0.00174,0.053578324,11,0.00054,0.033012058,7,348.9292569,334.6849957,25.72168578,14.63729678,11.084389,0.073716048,0.041949182,0.031766866
CITY OF CHICAGO:WARD 40 PRECINCT 20,CITY OF CHICAGO:WARD 40 PRECINCT 20,CITY OF CHICAGO:Ward 40 Precinct 20,CITY OF CHICAGO,Ward 40 Precinct 20,0.71342699,0.153159543,0.037830372,0.077687512,0.019209586,0.002032058,0.5615,0.4115,0.5885,0.4239,0.2549,0.0095,0.0794,0.2252,0.100614834,0.025387032,0.204512678,0.350935844,0.130848749,0.064937156,0.070331446,0.043549817,0.008882445,0.041514855,0.010578231,0.016249114,0.007025551,0.019353525,0.017640732,0.025214576,0.017112323,0.0474354,0.076204634,0.081372309,0.155253684,0.139623548,0.137715161,0.068317029,0.139389327,40020,0.497448669,1160,773,515,0.21658,0.214849989,166,0.33286,0.236986636,49,0.43156,0.251841855,52,0.01538,0.121022149,25,0.00154,0.059384465,12,0.00154,0.053376952,11,0.00054,0.033255617,7,684.1071611,659.1939165,55.27444615,34.28501082,20.98943533,0.080797935,0.050116433,0.030681502
CITY OF CHICAGO:WARD 46 PRECINCT 07,CITY OF CHICAGO:WARD 46 PRECINCT 07,CITY OF CHICAGO:Ward 46 Precinct 07,CITY OF CHICAGO,Ward 46 Precinct 07,0.632338287,0.100998888,0.191101781,0.066228447,0.014420394,0.00214187,0.5199,0.2377,0.7623,0.2657,0.3664,0.0106,0.0639,0.2909,0.111882121,0.051369372,0.336129152,0.265739664,0.094940551,0.0656847,0.037330558,0.023995548,0.012928333,0.023654285,0.058171727,0.019492519,0.035163438,0.044733176,0.016308329,0.032280784,0.014384653,0.053684104,0.058516185,0.067771512,0.160489296,0.060732818,0.112862019,0.118640203,0.123114952,46007,0.777356685,437,291,194,0.21502,0.214683284,62,0.33436,0.236917221,49,0.4309,0.25104763,52,0.01624,0.121051311,25,0.00156,0.05991952,12,0.00148,0.054143627,11,0.00044,0.033722603,7,305.3599641,280.8026981,44.19118997,31.43056521,12.76062476,0.144718349,0.102929555,0.041788794
CITY OF CHICAGO:WARD 47 PRECINCT 06,CITY OF CHICAGO:WARD 47 PRECINCT 06,CITY OF CHICAGO:Ward 47 Precinct 06,CITY OF CHICAGO,Ward 47 Precinct 06,0.642621722,0.120080663,0.070356097,0.141371992,0.018356167,0.003918421,0.6466,0.2884,0.7116,0.3761,0.3768,0.0089,0.0103,0.2107,0.105751045,0.01495132,0.179767825,0.297357314,0.202521378,0.100568816,0.046770069,0.035429207,0.016883024,0.074100489,0.049507736,0.004266212,0.037535648,0.026467839,0.008786073,1.17E-09,0.056950218,0.021217876,0.043495015,0.124466374,0.234555592,0.055254556,0.098364081,0.070950102,0.094082189,47006,0.881986173,735,490,327,0.22136,0.215565729,106,0.32848,0.236267524,49,0.43074,0.251414683,52,0.0161,0.121730337,25,0.0014,0.060430928,12,0.00144,0.05401707,11,0.00048,0.03277029,7,286.60711,249.2884764,71.95032605,51.64898939,20.30133666,0.251041665,0.180208333,0.070833332
CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:Ward 48 Precinct 16,CITY OF CHICAGO,Ward 48 Precinct 16,0.410933966,0.149698008,0.231391529,0.195388687,0.020471656,0.002589781,0.2924,0.1856,0.8144,0.3308,0.4635,0.0267,0.0364,0.1426,0.136131465,0.083164237,0.210226728,0.215535351,0.096448677,0.084152671,0.079162181,0.071694313,0.023484377,0.082194963,0.078913007,0.058946548,0.087796964,0.084449794,0.006138599,0.072265886,0.022712813,0.041891888,0.126379821,0.06708721,0.110699322,0.065047999,0.03635312,0.043267043,0.015855023,48016,0.802741051,561,374,249,0.2193,0.215316586,81,0.33078,0.23649864,49,0.43054,0.251870692,52,0.01552,0.121327875,25,0.0016,0.060250118,12,0.00168,0.053599355,11,0.00058,0.033103058,7,318.4338355,299.1766254,45.21120455,35.82491922,9.38628533,0.141979901,0.112503494,0.029476407
CITY OF CHICAGO:WARD 47 PRECINCT 03,CITY OF CHICAGO:WARD 47 PRECINCT 03,CITY OF CHICAGO:Ward 47 Precinct 03,CITY OF CHICAGO,Ward 47 Precinct 03,0.731094879,0.124165454,0.041005726,0.084543504,0.021216113,0.000378031,0.7011,0.2959,0.7041,0.4131,0.1987,0.0274,0.0027,0.3316,0.077021791,0.013870645,0.182865273,0.364550307,0.149957861,0.125052888,0.045796121,0.036759092,0.004126021,0.00719666,3.64E-10,5.95E-10,2.89E-10,0.020906423,0.033589168,0.028636697,0.0018421,0.005233934,0.114638103,0.106845827,0.166798189,0.109261749,0.130482326,0.142167362,0.132401462,47003,0.660464436,641,427,285,0.21876,0.214702334,92,0.33176,0.236795366,49,0.43046,0.250972781,52,0.01572,0.121571034,25,0.00142,0.060532316,12,0.00158,0.053391375,11,0.0003,0.033141589,7,288.5662744,272.0620456,34.91203412,23.52744768,11.38458644,0.120984457,0.081532216,0.039452242
CITY OF CHICAGO:WARD 46 PRECINCT 10,CITY OF CHICAGO:WARD 46 PRECINCT 10,CITY OF CHICAGO:Ward 46 Precinct 10,CITY OF CHICAGO,Ward 46 Precinct 10,0.647933089,0.126523997,0.131519549,0.079232947,0.022647253,0.00055813,0.5874,0.3439,0.6561,0.3528,0.3406,0.0589,0.0266,0.1999,0.037264882,0.082508449,0.274972071,0.223395073,0.067098064,0.135496226,0.107459642,0.01769262,0.054112972,0.098941239,0.057875636,0.041680983,0.063150289,0.035967184,0.00474954,0.020685926,0.016021023,0.030350052,0.07473977,0.107078775,0.087810045,0.113713214,0.030765981,0.167940055,0.048530288,46010,0.808074276,1251,834,556,0.21996,0.215010565,179,0.33098,0.236677939,49,0.43026,0.251253324,52,0.0155,0.121548671,25,0.00142,0.060040801,12,0.00152,0.05351275,11,0.00036,0.033305403,7,793.8549282,718.8327554,147.8907302,121.3289131,26.56181704,0.186294403,0.15283512,0.033459283
CITY OF CHICAGO:WARD 40 PRECINCT 21,CITY OF CHICAGO:WARD 40 PRECINCT 21,CITY OF CHICAGO:Ward 40 Precinct 21,CITY OF CHICAGO,Ward 40 Precinct 21,0.6852705,0.169663785,0.049203852,0.084590246,0.014359655,0.000915403,0.5457,0.5365,0.4635,0.4507,0.3403,0.0054,0.0759,0.1223,0.110489192,0.022098235,0.269610832,0.332979773,0.11089515,0.082149213,0.037370348,0.026979085,0.007428171,0.010396953,2.01E-10,0.019737694,6.17E-10,0.007589732,0.042335635,0.016818332,0.004252887,0.025492311,0.056262645,0.11872238,0.104633253,0.140993029,0.06638533,0.135481606,0.250898212,40021,1.150303378,639,426,284,0.2185,0.215232069,92,0.33206,0.236395283,49,0.43012,0.251506945,52,0.0154,0.120900279,25,0.00184,0.060154591,12,0.00166,0.053663775,11,0.00042,0.032787274,7,419.375997,392.9901072,57.66230636,40.45657234,17.20573402,0.137495486,0.096468498,0.041026988
