JoinField,JoinFieldAlt,estimated_turnout,win_prob_Fine,median_pct_Fine,median_votes_Fine,win_prob_Biss,median_pct_Biss,median_votes_Biss,win_prob_Abughazaleh,median_pct_Abughazaleh,median_votes_Abughazaleh,win_prob_Simmons,median_pct_Simmons,median_votes_Simmons,win_prob_Amiwala,median_pct_Amiwala,median_votes_Amiwala,win_prob_Andrew,median_pct_Andrew,median_votes_Andrew,win_prob_Huynh,median_pct_Huynh,median_votes_Huynh
CITY OF CHICAGO:WARD 46 PRECINCT 20,CITY OF CHICAGO:Ward 46 Precinct 20,416,0.02184,0.1350874319278,56,0.37654,0.2571702751899683,107,0.57044,0.28178984543080055,117,0.02934,0.1592236251398959,66,0.00126,0.07363093567603698,31,0.00044,0.0311956101987393,13,0.00014,0.029452270587766602,12
CITY OF CHICAGO:WARD 40 PRECINCT 02,CITY OF CHICAGO:Ward 40 Precinct 02,483,0.04914,0.15310824015383048,74,0.59776,0.2730430624619753,132,0.33078,0.23898029624618128,115,0.0092,0.10724285110521277,52,0.0068,0.09870156496598098,48,0.0062,0.08917965813245521,43,0.00012,0.013633849808224638,7
CITY OF CHICAGO:WARD 40 PRECINCT 03,CITY OF CHICAGO:Ward 40 Precinct 03,583,0.04174,0.149925535953932,87,0.5795,0.2736059333296986,160,0.35806,0.24519855119350425,143,0.01352,0.12324028532838308,72,0.004,0.08977919477829119,52,0.00306,0.07562610658255556,44,0.00012,0.017531363440860915,10
CITY OF CHICAGO:WARD 40 PRECINCT 04,CITY OF CHICAGO:Ward 40 Precinct 04,429,0.03592,0.1458504388466807,63,0.55064,0.27216820695386684,117,0.38546,0.25116222178083275,108,0.02366,0.14162377613821092,61,0.00252,0.0797645914070507,34,0.00168,0.05903075113086156,25,0.00012,0.023979775624331866,10
CITY OF CHICAGO:WARD 40 PRECINCT 05,CITY OF CHICAGO:Ward 40 Precinct 05,323,0.04856,0.15351865214459381,50,0.59722,0.2727993390206861,88,0.33254,0.23939542856939422,77,0.0087,0.10733357237731682,35,0.00628,0.0989891019862813,32,0.00644,0.08898314384487394,29,0.00026,0.014092768865726652,5
CITY OF CHICAGO:WARD 40 PRECINCT 06,CITY OF CHICAGO:Ward 40 Precinct 06,254,0.048,0.15316756259621223,39,0.59294,0.27249765328762227,69,0.33756,0.23929288659152115,61,0.00912,0.1069373963030844,27,0.0065,0.09953628185804245,25,0.00578,0.08925131407417741,23,0.0001,0.013509980195326694,3
CITY OF CHICAGO:WARD 48 PRECINCT 08,CITY OF CHICAGO:Ward 48 Precinct 08,307,0.03118,0.14211545497393396,44,0.52454,0.2711742020633584,83,0.4085,0.2561660743738041,79,0.0334,0.15400299308939297,47,0.0013,0.0722488430719665,22,0.00082,0.04867240039138801,15,0.00026,0.02807101381536178,9
CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:Ward 48 Precinct 16,374,0.02062,0.13508288931345105,51,0.37064,0.25678439626670124,96,0.57708,0.28282820752401716,106,0.03008,0.1590838369750736,59,0.00104,0.07395277788929722,28,0.00038,0.03068952158212799,11,0.00016,0.02962438526276491,11
CITY OF CHICAGO:WARD 48 PRECINCT 18,CITY OF CHICAGO:Ward 48 Precinct 18,376,0.02116,0.1360347118391326,51,0.37666,0.2576149351384561,97,0.5694,0.28171488657380617,106,0.03062,0.15855514256146294,60,0.00152,0.07396831572171271,28,0.00048,0.03266477827420501,12,0.00016,0.02940628128985499,11
CITY OF CHICAGO:WARD 48 PRECINCT 22,CITY OF CHICAGO:Ward 48 Precinct 22,317,0.04786,0.1657528676303618,53,0.76552,0.30392262266167436,96,0.16382,0.21814489651672136,69,0.02086,0.14377763531921228,46,0.00078,0.061799865598033,20,0.001,0.0520359613999985,16,0.00016,0.027818981541168353,9
CITY OF CHICAGO:WARD 48 PRECINCT 33,CITY OF CHICAGO:Ward 48 Precinct 33,204,0.03754,0.15094532104828215,31,0.57146,0.27722087149440944,57,0.35704,0.24928252710834287,51,0.03134,0.15310756145178434,31,0.0016,0.06739148655904248,14,0.00082,0.044738417489002716,9,0.0002,0.02753146870576183,6
CITY OF CHICAGO:WARD 50 PRECINCT 01,CITY OF CHICAGO:Ward 50 Precinct 01,314,0.11882,0.18245959829396552,57,0.58552,0.2643146286790901,83,0.2693,0.22064262347109675,69,0.00764,0.0955949325397572,30,0.00736,0.09606381365385375,30,0.0112,0.10282364152091689,32,0.00016,0.011300920240653198,4
CITY OF CHICAGO:WARD 50 PRECINCT 02,CITY OF CHICAGO:Ward 50 Precinct 02,328,0.11776,0.1819999624135096,60,0.58604,0.2643102258911226,87,0.26922,0.22086496596345423,72,0.00786,0.09536897003967368,31,0.00792,0.09654594659485859,32,0.01096,0.10303993378317183,34,0.00024,0.011750725638551568,4
CITY OF CHICAGO:WARD 50 PRECINCT 03,CITY OF CHICAGO:Ward 50 Precinct 03,284,0.05748,0.1676944560231119,48,0.77556,0.2991527499302261,85,0.14914,0.2084981434840226,59,0.00636,0.09797615832564013,28,0.00486,0.09174591357272903,26,0.00648,0.09660335514478086,27,0.00012,0.013764809940323211,4
