2024_ID,Status,Transitions,new_id
CITY OF CHICAGO:Ward 39 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 50 Precinct 24', 'pct': 54.36}",CITY OF CHICAGO:Ward 50 Precinct 24
CITY OF CHICAGO:Ward 39 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 50 Precinct 25', 'pct': 23.75}",CITY OF CHICAGO:Ward 50 Precinct 25
CITY OF CHICAGO:Ward 39 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 50 Precinct 25', 'pct': 8.38}",CITY OF CHICAGO:Ward 50 Precinct 25
CITY OF CHICAGO:Ward 39 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 39 Precinct 12', 'pct': 7.87}",CITY OF CHICAGO:Ward 39 Precinct 12
CITY OF CHICAGO:Ward 39 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 50 Precinct 25', 'pct': 5.3}",CITY OF CHICAGO:Ward 50 Precinct 25
CITY OF CHICAGO:Ward 39 Precinct 14,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 39 Precinct 14', 'pct': 100.0}",CITY OF CHICAGO:Ward 39 Precinct 14
CITY OF CHICAGO:Ward 39 Precinct 15,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 50 Precinct 24', 'pct': 100.0}",CITY OF CHICAGO:Ward 50 Precinct 24
CITY OF CHICAGO:Ward 39 Precinct 34,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 45 Precinct 05', 'pct': 100.0}",CITY OF CHICAGO:Ward 45 Precinct 05
CITY OF CHICAGO:Ward 40 Precinct 01,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 01', 'pct': 99.91}",CITY OF CHICAGO:Ward 40 Precinct 01
CITY OF CHICAGO:Ward 40 Precinct 02,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 02', 'pct': 99.93}",CITY OF CHICAGO:Ward 40 Precinct 02
CITY OF CHICAGO:Ward 40 Precinct 03,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 03', 'pct': 99.94}",CITY OF CHICAGO:Ward 40 Precinct 03
CITY OF CHICAGO:Ward 40 Precinct 04,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 04', 'pct': 99.87}",CITY OF CHICAGO:Ward 40 Precinct 04
CITY OF CHICAGO:Ward 40 Precinct 05,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 05', 'pct': 99.94}",CITY OF CHICAGO:Ward 40 Precinct 05
CITY OF CHICAGO:Ward 40 Precinct 06,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 06', 'pct': 99.94}",CITY OF CHICAGO:Ward 40 Precinct 06
CITY OF CHICAGO:Ward 40 Precinct 07,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 07', 'pct': 99.93}",CITY OF CHICAGO:Ward 40 Precinct 07
CITY OF CHICAGO:Ward 40 Precinct 08,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 05', 'pct': 100.0}",CITY OF CHICAGO:Ward 40 Precinct 05
CITY OF CHICAGO:Ward 40 Precinct 09,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 14', 'pct': 29.76}",CITY OF CHICAGO:Ward 40 Precinct 14
CITY OF CHICAGO:Ward 40 Precinct 09,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 05', 'pct': 26.35}",CITY OF CHICAGO:Ward 40 Precinct 05
CITY OF CHICAGO:Ward 40 Precinct 09,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 06', 'pct': 20.34}",CITY OF CHICAGO:Ward 40 Precinct 06
CITY OF CHICAGO:Ward 40 Precinct 09,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 10', 'pct': 14.89}",CITY OF CHICAGO:Ward 40 Precinct 10
CITY OF CHICAGO:Ward 40 Precinct 09,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 06', 'pct': 7.15}",CITY OF CHICAGO:Ward 40 Precinct 06
CITY OF CHICAGO:Ward 40 Precinct 10,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 10', 'pct': 99.95}",CITY OF CHICAGO:Ward 40 Precinct 10
CITY OF CHICAGO:Ward 40 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 12', 'pct': 31.83}",CITY OF CHICAGO:Ward 40 Precinct 12
CITY OF CHICAGO:Ward 40 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 12', 'pct': 29.55}",CITY OF CHICAGO:Ward 40 Precinct 12
CITY OF CHICAGO:Ward 40 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 12', 'pct': 7.64}",CITY OF CHICAGO:Ward 40 Precinct 12
CITY OF CHICAGO:Ward 40 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 12', 'pct': 6.65}",CITY OF CHICAGO:Ward 40 Precinct 12
CITY OF CHICAGO:Ward 40 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 19', 'pct': 4.81}",CITY OF CHICAGO:Ward 40 Precinct 19
CITY OF CHICAGO:Ward 40 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 4.14}",CITY OF CHICAGO:Ward 40 Precinct 20
CITY OF CHICAGO:Ward 40 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 3.49}",CITY OF CHICAGO:Ward 40 Precinct 20
CITY OF CHICAGO:Ward 40 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 12', 'pct': 3.0}",CITY OF CHICAGO:Ward 40 Precinct 12
CITY OF CHICAGO:Ward 40 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 12', 'pct': 2.9}",CITY OF CHICAGO:Ward 40 Precinct 12
CITY OF CHICAGO:Ward 40 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 2.9}",CITY OF CHICAGO:Ward 40 Precinct 20
CITY OF CHICAGO:Ward 40 Precinct 12,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 2.27}",CITY OF CHICAGO:Ward 40 Precinct 20
CITY OF CHICAGO:Ward 40 Precinct 13,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 45.69}",CITY OF CHICAGO:Ward 40 Precinct 20
CITY OF CHICAGO:Ward 40 Precinct 13,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 14', 'pct': 26.78}",CITY OF CHICAGO:Ward 40 Precinct 14
CITY OF CHICAGO:Ward 40 Precinct 13,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 14', 'pct': 14.14}",CITY OF CHICAGO:Ward 40 Precinct 14
CITY OF CHICAGO:Ward 40 Precinct 13,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 14', 'pct': 8.54}",CITY OF CHICAGO:Ward 40 Precinct 14
CITY OF CHICAGO:Ward 40 Precinct 13,SPLIT,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 20', 'pct': 4.85}",CITY OF CHICAGO:Ward 40 Precinct 20
CITY OF CHICAGO:Ward 40 Precinct 14,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 14', 'pct': 99.94}",CITY OF CHICAGO:Ward 40 Precinct 14
CITY OF CHICAGO:Ward 40 Precinct 15,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 15', 'pct': 99.92}",CITY OF CHICAGO:Ward 40 Precinct 15
CITY OF CHICAGO:Ward 40 Precinct 16,Unchanged,"{'new_id': 'CITY OF CHICAGO:Ward 40 Precinct 16', 'pct': 99.89}",CITY OF CHICAGO:Ward 40 Precinct 16
