JoinField,PresDem,PresRep,PresTot,tot_vote_2018_weighted,,board,portion,
CITY OF CHICAGO:Ward 05 Precinct 25,1343,79,1460,879.0904348,CITY OF CHICAGO:WARD 05 PRECINCT 25,CITY OF CHICAGO,0.654572178,879
CITY OF CHICAGO:Ward 05 Precinct 12,893,45,958,869.7201218,CITY OF CHICAGO:WARD 05 PRECINCT 12,CITY OF CHICAGO,0.973930708,870
CITY OF CHICAGO:Ward 05 Precinct 15,1376,81,1503,863.9608349,CITY OF CHICAGO:WARD 05 PRECINCT 15,CITY OF CHICAGO,0.627878514,864
CITY OF CHICAGO:Ward 47 Precinct 07,1501,121,1648,836.5040988,CITY OF CHICAGO:WARD 47 PRECINCT 07,CITY OF CHICAGO,0.557297867,837
CITY OF CHICAGO:Ward 46 Precinct 10,1056,82,1169,833.5624491,CITY OF CHICAGO:WARD 46 PRECINCT 10,CITY OF CHICAGO,0.78935838,834
CITY OF CHICAGO:Ward 35 Precinct 06,1480,168,1702,832.725646,CITY OF CHICAGO:WARD 35 PRECINCT 06,CITY OF CHICAGO,0.562652464,833
CITY OF CHICAGO:Ward 19 Precinct 28,1115,149,1286,820.302676,CITY OF CHICAGO:WARD 19 PRECINCT 28,CITY OF CHICAGO,0.735697467,820
CITY OF CHICAGO:Ward 49 Precinct 14,1295,123,1446,815.1816261,CITY OF CHICAGO:WARD 49 PRECINCT 14,CITY OF CHICAGO,0.629483881,815
CITY OF CHICAGO:Ward 44 Precinct 12,1325,179,1527,802.790803,CITY OF CHICAGO:WARD 44 PRECINCT 12,CITY OF CHICAGO,0.605879851,803
CITY OF CHICAGO:Ward 46 Precinct 12,1427,156,1605,794.4086038,CITY OF CHICAGO:WARD 46 PRECINCT 12,CITY OF CHICAGO,0.556698391,794
CITY OF CHICAGO:Ward 40 Precinct 20,933,123,1071,772.550279,CITY OF CHICAGO:WARD 40 PRECINCT 20,CITY OF CHICAGO,0.828028166,773
CITY OF CHICAGO:Ward 49 Precinct 03,1170,147,1350,759.036918,CITY OF CHICAGO:WARD 49 PRECINCT 03,CITY OF CHICAGO,0.648749503,759
CITY OF CHICAGO:Ward 44 Precinct 17,1552,182,1773,758.2639044,CITY OF CHICAGO:WARD 44 PRECINCT 17,CITY OF CHICAGO,0.488572103,758
CITY OF CHICAGO:Ward 44 Precinct 04,1375,241,1631,755.0000245,CITY OF CHICAGO:WARD 44 PRECINCT 04,CITY OF CHICAGO,0.549090927,755
CITY OF CHICAGO:Ward 19 Precinct 34,608,633,1253,736.5849844,CITY OF CHICAGO:WARD 19 PRECINCT 34,CITY OF CHICAGO,1.211488461,737
CITY OF CHICAGO:Ward 18 Precinct 02,860,78,948,726.8306427,CITY OF CHICAGO:WARD 18 PRECINCT 02,CITY OF CHICAGO,0.84515191,727
CITY OF CHICAGO:Ward 06 Precinct 26,986,62,1066,726.6466615,CITY OF CHICAGO:WARD 06 PRECINCT 26,CITY OF CHICAGO,0.73696416,727
CITY OF CHICAGO:Ward 35 Precinct 09,1141,120,1306,718.4542179,CITY OF CHICAGO:WARD 35 PRECINCT 09,CITY OF CHICAGO,0.629670655,718
CITY OF CHICAGO:Ward 05 Precinct 18,1231,109,1384,711.3048037,CITY OF CHICAGO:WARD 05 PRECINCT 18,CITY OF CHICAGO,0.57782681,711
CITY OF CHICAGO:Ward 47 Precinct 09,1226,140,1383,710.7540113,CITY OF CHICAGO:WARD 47 PRECINCT 09,CITY OF CHICAGO,0.579734104,711
CITY OF CHICAGO:Ward 40 Precinct 09,849,238,1117,708.2611112,CITY OF CHICAGO:WARD 40 PRECINCT 09,CITY OF CHICAGO,0.834229813,708
CITY OF CHICAGO:Ward 49 Precinct 17,1177,129,1356,707.7153569,CITY OF CHICAGO:WARD 49 PRECINCT 17,CITY OF CHICAGO,0.601287474,708
CITY OF CHICAGO:Ward 18 Precinct 08,1063,117,1190,703.7487591,CITY OF CHICAGO:WARD 18 PRECINCT 08,CITY OF CHICAGO,0.662040225,704
CITY OF CHICAGO:Ward 21 Precinct 22,942,62,1018,700.0420546,CITY OF CHICAGO:WARD 21 PRECINCT 22,CITY OF CHICAGO,0.743144432,700
CITY OF CHICAGO:Ward 42 Precinct 02,353,84,445,698.9721319,CITY OF CHICAGO:WARD 42 PRECINCT 02,CITY OF CHICAGO,1.980091025,699
CITY OF CHICAGO:Ward 49 Precinct 07,1180,191,1417,693.2884379,CITY OF CHICAGO:WARD 49 PRECINCT 07,CITY OF CHICAGO,0.587532575,693
CITY OF CHICAGO:Ward 49 Precinct 15,1173,135,1355,688.4037289,CITY OF CHICAGO:WARD 49 PRECINCT 15,CITY OF CHICAGO,0.586874449,688
CITY OF CHICAGO:Ward 21 Precinct 14,877,48,939,688.2520541,CITY OF CHICAGO:WARD 21 PRECINCT 14,CITY OF CHICAGO,0.784779993,688
CITY OF CHICAGO:Ward 06 Precinct 27,944,60,1016,687.052291,CITY OF CHICAGO:WARD 06 PRECINCT 27,CITY OF CHICAGO,0.72780963,687
CITY OF CHICAGO:Ward 40 Precinct 23,1136,99,1256,680.5684232,CITY OF CHICAGO:WARD 40 PRECINCT 23,CITY OF CHICAGO,0.599091922,681
CITY OF CHICAGO:Ward 21 Precinct 15,836,62,908,679.352938,CITY OF CHICAGO:WARD 21 PRECINCT 15,CITY OF CHICAGO,0.812623132,679
CITY OF CHICAGO:Ward 47 Precinct 05,1253,80,1362,678.8952543,CITY OF CHICAGO:WARD 47 PRECINCT 05,CITY OF CHICAGO,0.541815845,679
CITY OF CHICAGO:Ward 19 Precinct 31,819,262,1099,676.6978364,CITY OF CHICAGO:WARD 19 PRECINCT 31,CITY OF CHICAGO,0.826248884,677
CITY OF CHICAGO:Ward 49 Precinct 04,1192,147,1388,673.8768481,CITY OF CHICAGO:WARD 49 PRECINCT 04,CITY OF CHICAGO,0.565332926,674
CITY OF CHICAGO:Ward 03 Precinct 13,1023,160,1201,673.5508501,CITY OF CHICAGO:WARD 03 PRECINCT 13,CITY OF CHICAGO,0.658407478,674
CITY OF CHICAGO:Ward 08 Precinct 23,963,58,1035,670.9999908,CITY OF CHICAGO:WARD 08 PRECINCT 23,CITY OF CHICAGO,0.696780883,671
CITY OF CHICAGO:Ward 25 Precinct 12,581,107,727,669.1829538,CITY OF CHICAGO:WARD 25 PRECINCT 12,CITY OF CHICAGO,1.15177789,669
CITY OF CHICAGO:Ward 05 Precinct 02,985,66,1067,668.9316554,CITY OF CHICAGO:WARD 05 PRECINCT 02,CITY OF CHICAGO,0.679118432,669
CITY OF CHICAGO:Ward 33 Precinct 01,1112,211,1361,666.186623,CITY OF CHICAGO:WARD 33 PRECINCT 01,CITY OF CHICAGO,0.59908869,666
CITY OF CHICAGO:Ward 07 Precinct 19,840,44,899,665.6758431,CITY OF CHICAGO:WARD 07 PRECINCT 19,CITY OF CHICAGO,0.792471242,666
CITY OF CHICAGO:Ward 46 Precinct 16,1213,133,1382,657.1769317,CITY OF CHICAGO:WARD 46 PRECINCT 16,CITY OF CHICAGO,0.541778179,657
CITY OF CHICAGO:Ward 49 Precinct 08,1368,88,1518,652.3194648,CITY OF CHICAGO:WARD 49 PRECINCT 08,CITY OF CHICAGO,0.476841714,652
CITY OF CHICAGO:Ward 09 Precinct 10,847,66,926,651.7031627,CITY OF CHICAGO:WARD 09 PRECINCT 10,CITY OF CHICAGO,0.769425222,652
CITY OF CHICAGO:Ward 11 Precinct 21,514,483,1019,651.6692114,CITY OF CHICAGO:WARD 11 PRECINCT 21,CITY OF CHICAGO,1.267838933,652
CITY OF CHICAGO:Ward 47 Precinct 08,999,104,1131,649.0011039,CITY OF CHICAGO:WARD 47 PRECINCT 08,CITY OF CHICAGO,0.649650755,649
CITY OF CHICAGO:Ward 46 Precinct 05,939,171,1125,646.820034,CITY OF CHICAGO:WARD 46 PRECINCT 05,CITY OF CHICAGO,0.688839227,647
CITY OF CHICAGO:Ward 47 Precinct 26,1111,174,1311,641.6340822,CITY OF CHICAGO:WARD 47 PRECINCT 26,CITY OF CHICAGO,0.577528427,642
CITY OF CHICAGO:Ward 21 Precinct 19,752,42,804,639.0554517,CITY OF CHICAGO:WARD 21 PRECINCT 19,CITY OF CHICAGO,0.849807781,639
CITY OF CHICAGO:Ward 06 Precinct 22,978,72,1067,635.6781659,CITY OF CHICAGO:WARD 06 PRECINCT 22,CITY OF CHICAGO,0.649977675,636
CITY OF CHICAGO:Ward 48 Precinct 35,866,69,955,634.7462171,CITY OF CHICAGO:WARD 48 PRECINCT 35,CITY OF CHICAGO,0.732963299,635
CITY OF CHICAGO:Ward 08 Precinct 06,806,57,878,634.3121667,CITY OF CHICAGO:WARD 08 PRECINCT 06,CITY OF CHICAGO,0.7869878,634
CITY OF CHICAGO:Ward 05 Precinct 22,943,70,1042,633.1177379,CITY OF CHICAGO:WARD 05 PRECINCT 22,CITY OF CHICAGO,0.671386785,633
CITY OF CHICAGO:Ward 49 Precinct 13,1096,164,1309,632.4151809,CITY OF CHICAGO:WARD 49 PRECINCT 13,CITY OF CHICAGO,0.57702115,632
CITY OF CHICAGO:Ward 32 Precinct 01,1305,194,1517,630.6794821,CITY OF CHICAGO:WARD 32 PRECINCT 01,CITY OF CHICAGO,0.483279297,631
CITY OF CHICAGO:Ward 05 Precinct 01,799,82,896,629.1157175,CITY OF CHICAGO:WARD 05 PRECINCT 01,CITY OF CHICAGO,0.78737887,629
CITY OF CHICAGO:Ward 46 Precinct 06,1507,202,1736,628.3170282,CITY OF CHICAGO:WARD 46 PRECINCT 06,CITY OF CHICAGO,0.416932335,628
CITY OF CHICAGO:Ward 03 Precinct 25,1038,226,1310,628.2463528,CITY OF CHICAGO:WARD 03 PRECINCT 25,CITY OF CHICAGO,0.605246968,628
CITY OF CHICAGO:Ward 43 Precinct 06,1353,298,1670,628.0625481,CITY OF CHICAGO:WARD 43 PRECINCT 06,CITY OF CHICAGO,0.464199962,628
CITY OF CHICAGO:Ward 46 Precinct 04,1203,189,1427,625.9999926,CITY OF CHICAGO:WARD 46 PRECINCT 04,CITY OF CHICAGO,0.520365746,626
CITY OF CHICAGO:Ward 18 Precinct 10,937,86,1043,625.9189613,CITY OF CHICAGO:WARD 18 PRECINCT 10,CITY OF CHICAGO,0.66800316,626
CITY OF CHICAGO:Ward 47 Precinct 18,1090,98,1211,624.4343879,CITY OF CHICAGO:WARD 47 PRECINCT 18,CITY OF CHICAGO,0.572875585,624
CITY OF CHICAGO:Ward 21 Precinct 28,781,51,839,623.0970313,CITY OF CHICAGO:WARD 21 PRECINCT 28,CITY OF CHICAGO,0.797819502,623
CITY OF CHICAGO:Ward 01 Precinct 07,1041,117,1188,622.9892449,CITY OF CHICAGO:WARD 01 PRECINCT 07,CITY OF CHICAGO,0.598452685,623
CITY OF CHICAGO:Ward 17 Precinct 18,811,36,864,621.8239877,CITY OF CHICAGO:WARD 17 PRECINCT 18,CITY OF CHICAGO,0.766737346,622
CITY OF CHICAGO:Ward 35 Precinct 12,1235,129,1401,620.0698164,CITY OF CHICAGO:WARD 35 PRECINCT 12,CITY OF CHICAGO,0.502080823,620
CITY OF CHICAGO:Ward 18 Precinct 06,904,58,981,619.8606999,CITY OF CHICAGO:WARD 18 PRECINCT 06,CITY OF CHICAGO,0.685686615,620
CITY OF CHICAGO:Ward 11 Precinct 14,739,450,1215,612.9999778,CITY OF CHICAGO:WARD 11 PRECINCT 14,CITY OF CHICAGO,0.829499293,613
CITY OF CHICAGO:Ward 49 Precinct 16,1099,135,1289,606.331816,CITY OF CHICAGO:WARD 49 PRECINCT 16,CITY OF CHICAGO,0.551712298,606
CITY OF CHICAGO:Ward 06 Precinct 23,862,52,925,605.8571453,CITY OF CHICAGO:WARD 06 PRECINCT 23,CITY OF CHICAGO,0.702850517,606
CITY OF CHICAGO:Ward 05 Precinct 24,774,121,914,605.7511401,CITY OF CHICAGO:WARD 05 PRECINCT 24,CITY OF CHICAGO,0.782624212,606
CITY OF CHICAGO:Ward 32 Precinct 23,861,173,1063,602.63776,CITY OF CHICAGO:WARD 32 PRECINCT 23,CITY OF CHICAGO,0.699927712,603
